CLUSTER LEVEL 0,ELEMENT NAME,HIERARCHY ID,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,1.21,1.22
DIAS TRS,Circumferential barrier,1.1,,,,,,,,,0.04,,,,,,,,,0.18,0.19,0.92,,
,,,,,,,,,,,0.96,,,,,,,,,0.45,0.44,0.2,,
DIAS TRS,Increase the Vane Lean angle,1.2,,,,0.72,,,,,,,,,0.2,,,,,0.59,0.3,0.59,,
,,,,,,0.34,,,,,,,,,0.65,,,,,0.71,0.27,0.71,,
DIAS TRS,Strut Segment Thickness,1.3,,,,0.12,,,,,,,,,,,,,,0.04,0.6,0.89,,
,,,,,,0.59,,,,,,,,,,,,,,0.18,0.1,0.01,,
DIAS TRS,Strut numbers,1.4,,0.72,0.12,,,,,,,,,,,,,,,0.57,0.55,0.04,,
,,,,0.34,0.59,,,,,,,,,,,,,,,0.6,0.8,0.42,,
DIAS TRS,Strut Segment (vane),1.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in inner ring,1.6,,,,,,,,,,,,,,,,0.63,,0.62,,,,
,,,,,,,,,,,,,,,,,,0.64,,0.16,,,,
DIAS TRS,Vane cord parameters,1.7,,,,,,,,,,,,,,,,,0.61,0.33,0.89,0.83,,
,,,,,,,,,,,,,,,,,,,0.22,0.48,0.86,0.77,,
DIAS TRS,Geometry of surfaces along outer perimeter,1.8,,,,,,,,,,,,0.47,,,,,0.33,0.5,0.26,0.1,,
,,,,,,,,,,,,,,0.07,,,,,0.97,0.71,0.06,0.4,,
DIAS TRS,Outer structure with circumferential ring,1.9,0.04,,,,,,,,,0.57,,,,,0.83,,,0.02,0.73,,,
,,,0.96,,,,,,,,,0.31,,,,,0.7,,,0.46,0.55,,,
DIAS TRS,"lower the mount point and create a ""bump""",1.10,,,,,,,,,0.57,,,,,,,,,0.04,0.92,,,
,,,,,,,,,,,0.31,,,,,,,,,0.29,0.74,,,
DIAS TRS,3-point mounting system on outer ring with bump,1.11,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Width of Geometry of outer surfaces on vane,1.12,,,,,,,,0.47,,,,,,,,,,0.89,,0.75,,
,,,,,,,,,,0.07,,,,,,,,,,0.05,,0.41,,
DIAS TRS,Vane Numbers,1.13,,0.2,,,,,,,,,,,,,,,,0.67,0.04,0.9,,
,,,,0.65,,,,,,,,,,,,,,,,0.82,0.84,0.83,,
DIAS TRS,Vane,1.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in outer ring,1.15,,,,,,,,,0.83,,,,,,,,,0.68,0.42,0.19,,
,,,,,,,,,,,0.7,,,,,,,,,0.8,0.7,0.1,,
DIAS TRS,Inner circumferential structure,1.16,,,,,,0.63,,,,,,,,,,,,0.64,,0.13,,
,,,,,,,,0.64,,,,,,,,,,,,0.39,,0.91,,
DIAS TRS,Geometry of surfaces along inner perimeter,1.17,,,,,,,0.61,0.33,,,,,,,,,,0.25,,0.4,,
,,,,,,,,,0.22,0.97,,,,,,,,,,0.51,,0.51,,
DIAS TRS,(M) non-standard Standard Welding Robot  provided by supplier X,1.18,0.18,0.59,0.04,0.57,,0.62,0.33,0.5,0.02,0.04,,0.89,0.67,,0.68,0.64,0.25,,,,,
,,,0.45,0.71,0.18,0.6,,0.16,0.48,0.71,0.46,0.29,,0.05,0.82,,0.8,0.39,0.51,,,,,
DIAS TRS,(M) Positioned outer ring,1.19,0.19,0.3,0.6,0.55,,,0.89,0.26,0.73,0.92,,,0.04,,0.42,,,,,,,
,,,0.44,0.27,0.1,0.8,,,0.86,0.06,0.55,0.74,,,0.84,,0.7,,,,,,,
DIAS TRS,(M) Positioned inner ring + strut,1.20,0.92,0.59,0.89,0.04,,,0.83,0.1,,,,0.75,0.9,,0.19,0.13,0.4,,,,,
,,,0.2,0.71,0.01,0.42,,,0.77,0.4,,,,0.41,0.83,,0.1,0.91,0.51,,,,,
DIAS TRS,(M) Accommodate radially by OR separate from STRUT+ Innering(Combined),1.21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,(M) Assemble TRS through an assembly station,1.22,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
