CLUSTER LEVEL 0,ELEMENT NAME,HIERARCHY ID,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20
DIAS TRS,Circumferential barrier,1.1,,,,,,,,,0.04,,,,,,,,0.11,0.45,,
,,,,,,,,,,,0.96,,,,,,,,0.98,0.76,,
DIAS TRS,Increase the Vane Lean angle,1.2,,,,0.72,,,,,,,,0.2,,,,,0.18,0.58,,
,,,,,,0.34,,,,,,,,0.65,,,,,0.49,0.88,,
DIAS TRS,Strut Segment Thickness,1.3,,,,0.12,,,,,,,,,,,,,0.52,0.86,,
,,,,,,0.59,,,,,,,,,,,,,0.02,0.59,,
DIAS TRS,Strut numbers,1.4,,0.72,0.12,,,,,,,,,,,,,,0.51,0.03,,
,,,,0.34,0.59,,,,,,,,,,,,,,0.75,0.66,,
DIAS TRS,Strut Segment (vane),1.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in inner ring,1.6,,,,,,,,,,,,,,,0.63,,0.51,,,
,,,,,,,,,,,,,,,,,0.64,,0.22,,,
DIAS TRS,Vane cord parameters,1.7,,,,,,,,,,,,,,,,0.61,0.7,0.31,,
,,,,,,,,,,,,,,,,,,0.22,0.51,0.7,,
DIAS TRS,Geometry of surfaces along outer perimeter,1.8,,,,,,,,,,,0.47,,,,,0.33,0.55,0.19,,
,,,,,,,,,,,,,0.07,,,,,0.97,0.22,0.06,,
DIAS TRS,Outer structure with circumferential ring,1.9,0.04,,,,,,,,,0.19,,,,0.83,,,0.64,0.66,,
,,,0.96,,,,,,,,,0.96,,,,0.7,,,0.2,0.97,,
DIAS TRS,3-point mounting system on outer ring without bump,1.10,,,,,,,,,0.19,,,,,,,,0.56,0.37,,
,,,,,,,,,,,0.96,,,,,,,,0.24,0.52,,
DIAS TRS,Width of Geometry of outer surfaces on vane,1.11,,,,,,,,0.47,,,,,,,,,0.29,0.73,,
,,,,,,,,,,0.07,,,,,,,,,0.98,0.69,,
DIAS TRS,Vane Numbers,1.12,,0.2,,,,,,,,,,,,,,,0.98,0.69,,
,,,,0.65,,,,,,,,,,,,,,,0.89,0.94,,
DIAS TRS,Vane,1.13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in outer ring,1.14,,,,,,,,,0.83,,,,,,,,0.78,,,
,,,,,,,,,,,0.7,,,,,,,,0.1,,,
DIAS TRS,Inner circumferential structure,1.15,,,,,,0.63,,,,,,,,,,,0.87,0.61,,
,,,,,,,,0.64,,,,,,,,,,,0.68,0.63,,
DIAS TRS,Geometry of surfaces along inner perimeter,1.16,,,,,,,0.61,0.33,,,,,,,,,0.62,0.02,,
,,,,,,,,,0.22,0.97,,,,,,,,,0.1,0.17,,
DIAS TRS,(M) non-standard Standard Welding Robot  provided by supplier Y,1.17,0.11,0.18,0.52,0.51,,0.51,0.7,0.55,0.64,0.56,0.29,0.98,,0.78,0.87,0.62,,,,
,,,0.98,0.49,0.02,0.75,,0.22,0.51,0.22,0.2,0.24,0.98,0.89,,0.1,0.68,0.1,,,,
DIAS TRS,(M) 1 Section,1.18,0.45,0.58,0.86,0.03,,,0.31,0.19,0.66,0.37,0.73,0.69,,,0.61,0.02,,,,
,,,0.76,0.88,0.59,0.66,,,0.7,0.06,0.97,0.52,0.69,0.94,,,0.63,0.17,,,,
DIAS TRS,(M) Accommodate angular pieces (Cake piece),1.19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,(M) Assemble TRS through an assembly station,1.20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
