CLUSTER LEVEL 0,ELEMENT NAME,HIERARCHY ID,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17
DIAS TRS,Circumferential barrier,1.1,,,,,,,,,0.51,,,,,,,,0.15
DIAS TRS,Increase the Vane Lean angle,1.2,,,,0.72,,,,,,,,0.2,,,,,0.67
DIAS TRS,Strut Segment Thickness,1.3,,,,0.12,,,,,,,,,,,,,0.58
DIAS TRS,Strut numbers,1.4,,0.72,0.12,,,,,,,,,,,,,,0.61
DIAS TRS,Strut Segment (vane),1.5,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in inner ring,1.6,,,,,,,,,,,,,,,0.63,,
DIAS TRS,Vane cord parameters,1.7,,,,,,,,,,,,,,,,0.61,0.81
DIAS TRS,Geometry of surfaces along outer perimeter,1.8,,,,,,,,,,,0.47,,,,,0.33,0.96
DIAS TRS,Outer structure with polygonal ring,1.9,0.51,,,,,,,,,,,,,0.8,,,0.97
DIAS TRS,3-point mounting system on outer ring without bump,1.10,,,,,,,,,,,,,,,,,0.62
DIAS TRS,Width of Geometry of outer surfaces on vane,1.11,,,,,,,,0.47,,,,,,,,,0.0
DIAS TRS,Vane Numbers,1.12,,0.2,,,,,,,,,,,,,,,0.42
DIAS TRS,Vane,1.13,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in outer ring,1.14,,,,,,,,,0.8,,,,,,,,
DIAS TRS,Inner circumferential structure,1.15,,,,,,0.63,,,,,,,,,,,0.37
DIAS TRS,Geometry of surfaces along inner perimeter,1.16,,,,,,,0.61,0.33,,,,,,,,,0.76
DIAS TRS,(M) Avoid assembly by building as one unit,1.17,0.15,0.67,0.58,0.61,,,0.81,0.96,0.97,0.62,0.0,0.42,,,0.37,0.76,
