CLUSTER LEVEL 0,ELEMENT NAME,HIERARCHY ID,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,1.21
DIAS TRS,Circumferential barrier,1.1,,,,,,,,,0.51,,,,,,,,,0.18,0.45,,
,,,,,,,,,,,0.12,,,,,,,,,0.45,0.76,,
DIAS TRS,Increase the Vane Lean angle,1.2,,,,0.72,,,,,,,,,0.2,,,,,0.59,0.58,,
,,,,,,0.34,,,,,,,,,0.65,,,,,0.71,0.88,,
DIAS TRS,Strut Segment Thickness,1.3,,,,0.12,,,,,,,,,,,,,,0.04,0.86,,
,,,,,,0.59,,,,,,,,,,,,,,0.18,0.59,,
DIAS TRS,Strut numbers,1.4,,0.72,0.12,,,,,,,,,,,,,,,0.57,0.03,,
,,,,0.34,0.59,,,,,,,,,,,,,,,0.6,0.66,,
DIAS TRS,Strut Segment (vane),1.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in inner ring,1.6,,,,,,,,,,,,,,,,0.63,,0.62,,,
,,,,,,,,,,,,,,,,,,0.64,,0.16,,,
DIAS TRS,Vane cord parameters,1.7,,,,,,,,,,,,,,,,,0.61,0.33,0.31,,
,,,,,,,,,,,,,,,,,,,0.22,0.48,0.7,,
DIAS TRS,Geometry of surfaces along outer perimeter,1.8,,,,,,,,,,,,0.47,,,,,0.33,0.5,0.19,,
,,,,,,,,,,,,,,0.07,,,,,0.97,0.71,0.06,,
DIAS TRS,Outer structure with polygonal ring,1.9,0.51,,,,,,,,,,,,,,0.8,,,1.0,0.74,,
,,,0.12,,,,,,,,,,,,,,0.36,,,0.5,0.93,,
DIAS TRS,"lower the mount point and create a ""bump""",1.10,,,,,,,,,,,,,,,,,,0.04,0.61,,
,,,,,,,,,,,,,,,,,,,,0.29,0.21,,
DIAS TRS,3-point mounting system on outer ring with bump,1.11,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Width of Geometry of outer surfaces on vane,1.12,,,,,,,,0.47,,,,,,,,,,0.89,0.73,,
,,,,,,,,,,0.07,,,,,,,,,,0.05,0.69,,
DIAS TRS,Vane Numbers,1.13,,0.2,,,,,,,,,,,,,,,,0.67,0.69,,
,,,,0.65,,,,,,,,,,,,,,,,0.82,0.94,,
DIAS TRS,Vane,1.14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in outer ring,1.15,,,,,,,,,0.8,,,,,,,,,0.68,,,
,,,,,,,,,,,0.36,,,,,,,,,0.8,,,
DIAS TRS,Inner circumferential structure,1.16,,,,,,0.63,,,,,,,,,,,,0.64,0.61,,
,,,,,,,,0.64,,,,,,,,,,,,0.39,0.63,,
DIAS TRS,Geometry of surfaces along inner perimeter,1.17,,,,,,,0.61,0.33,,,,,,,,,,0.25,0.02,,
,,,,,,,,,0.22,0.97,,,,,,,,,,0.51,0.17,,
DIAS TRS,(M) non-standard Standard Welding Robot  provided by supplier X,1.18,0.18,0.59,0.04,0.57,,0.62,0.33,0.5,1.0,0.04,,0.89,0.67,,0.68,0.64,0.25,,,,
,,,0.45,0.71,0.18,0.6,,0.16,0.48,0.71,0.5,0.29,,0.05,0.82,,0.8,0.39,0.51,,,,
DIAS TRS,(M) 1 Section,1.19,0.45,0.58,0.86,0.03,,,0.31,0.19,0.74,0.61,,0.73,0.69,,,0.61,0.02,,,,
,,,0.76,0.88,0.59,0.66,,,0.7,0.06,0.93,0.21,,0.69,0.94,,,0.63,0.17,,,,
DIAS TRS,(M) Accommodate angular pieces (Cake piece),1.20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,(M) Assemble TRS through an assembly station,1.21,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
