CLUSTER LEVEL 0,ELEMENT NAME,HIERARCHY ID,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,1.21,1.22
DIAS TRS,Circumferential barrier,1.1,,,,,,,,,0.04,,,,,,,,0.18,0.19,0.79,0.03,,
DIAS TRS,Increase the Vane Lean angle,1.2,,,,0.72,,,,,,,,0.2,,,,,0.59,0.3,0.68,0.58,,
DIAS TRS,Strut Segment Thickness,1.3,,,,0.12,,,,,,,,,,,,,0.04,0.6,0.71,0.13,,
DIAS TRS,Strut numbers,1.4,,0.72,0.12,,,,,,,,,,,,,,0.57,0.55,0.78,0.92,,
DIAS TRS,Strut Segment (vane),1.5,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in inner ring,1.6,,,,,,,,,,,,,,,0.63,,0.62,,0.52,0.98,,
DIAS TRS,Vane cord parameters,1.7,,,,,,,,,,,,,,,,0.61,0.33,0.89,0.09,0.66,,
DIAS TRS,Geometry of surfaces along outer perimeter,1.8,,,,,,,,,,,0.47,,,,,0.33,0.5,0.26,,,,
DIAS TRS,Outer structure with circumferential ring,1.9,0.04,,,,,,,,,0.19,,,,0.83,,,0.02,0.73,,0.35,,
DIAS TRS,3-point mounting system on outer ring without bump,1.10,,,,,,,,,0.19,,,,,,,,0.55,0.65,,,,
DIAS TRS,Width of Geometry of outer surfaces on vane,1.11,,,,,,,,0.47,,,,,,,,,0.89,,,0.24,,
DIAS TRS,Vane Numbers,1.12,,0.2,,,,,,,,,,,,,,,0.67,0.04,0.81,0.94,,
DIAS TRS,Vane,1.13,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in outer ring,1.14,,,,,,,,,0.83,,,,,,,,0.68,0.42,,0.22,,
DIAS TRS,Inner circumferential structure,1.15,,,,,,0.63,,,,,,,,,,,0.64,0.75,0.97,0.67,,
DIAS TRS,Geometry of surfaces along inner perimeter,1.16,,,,,,,0.61,0.33,,,,,,,,,0.25,,0.97,,,
DIAS TRS,(M) non-standard Standard Welding Robot  provided by supplier X,1.17,0.18,0.59,0.04,0.57,,0.62,0.33,0.5,0.02,0.55,0.89,0.67,,0.68,0.64,0.25,,,,,,
DIAS TRS,(M) Positioned outer ring,1.18,0.19,0.3,0.6,0.55,,,0.89,0.26,0.73,0.65,,0.04,,0.42,0.75,,,,,,,
DIAS TRS,(M) Positioned inner ring,1.19,0.79,0.68,0.71,0.78,,0.52,0.09,,,,,0.81,,,0.97,0.97,,,,,,
DIAS TRS,(M) Positioned struts,1.20,0.03,0.58,0.13,0.92,,0.98,0.66,,0.35,,0.24,0.94,,0.22,0.67,,,,,,,
DIAS TRS,(M) Accommodate radially OR separate from STRUT  separated from IR,1.21,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,(M) Assemble TRS through an assembly station,1.22,,,,,,,,,,,,,,,,,,,,,,
