CLUSTER LEVEL 0,ELEMENT NAME,HIERARCHY ID,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,1.21,1.22,1.23
DIAS TRS,Circumferential barrier,1.1,,,,,,,,,0.51,,,,,,,,,0.11,0.19,0.79,0.03,,
DIAS TRS,Increase the Vane Lean angle,1.2,,,,0.72,,,,,,,,,0.2,,,,,0.18,0.3,0.68,0.58,,
DIAS TRS,Strut Segment Thickness,1.3,,,,0.12,,,,,,,,,,,,,,0.52,0.6,0.71,0.13,,
DIAS TRS,Strut numbers,1.4,,0.72,0.12,,,,,,,,,,,,,,,0.51,0.55,0.78,0.92,,
DIAS TRS,Strut Segment (vane),1.5,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in inner ring,1.6,,,,,,,,,,,,,,,,0.63,,0.51,,0.52,0.98,,
DIAS TRS,Vane cord parameters,1.7,,,,,,,,,,,,,,,,,0.61,0.7,0.89,0.09,0.66,,
DIAS TRS,Geometry of surfaces along outer perimeter,1.8,,,,,,,,,,,,0.47,,,,,0.33,0.55,0.26,,,,
DIAS TRS,Outer structure with polygonal ring,1.9,0.51,,,,,,,,,,,,,,0.8,,,0.84,0.72,,0.19,,
DIAS TRS,"lower the mount point and create a ""bump""",1.10,,,,,,,,,,,,,,,,,,0.71,0.92,,,,
DIAS TRS,3-point mounting system on outer ring with bump,1.11,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Width of Geometry of outer surfaces on vane,1.12,,,,,,,,0.47,,,,,,,,,,0.29,,,0.24,,
DIAS TRS,Vane Numbers,1.13,,0.2,,,,,,,,,,,,,,,,0.98,0.04,0.81,0.94,,
DIAS TRS,Vane,1.14,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in outer ring,1.15,,,,,,,,,0.8,,,,,,,,,0.78,0.42,,0.22,,
DIAS TRS,Inner circumferential structure,1.16,,,,,,0.63,,,,,,,,,,,,0.87,0.75,0.97,0.67,,
DIAS TRS,Geometry of surfaces along inner perimeter,1.17,,,,,,,0.61,0.33,,,,,,,,,,0.62,,0.97,,,
DIAS TRS,(M) non-standard Standard Welding Robot  provided by supplier Y,1.18,0.11,0.18,0.52,0.51,,0.51,0.7,0.55,0.84,0.71,,0.29,0.98,,0.78,0.87,0.62,,,,,,
DIAS TRS,(M) Positioned outer ring,1.19,0.19,0.3,0.6,0.55,,,0.89,0.26,0.72,0.92,,,0.04,,0.42,0.75,,,,,,,
DIAS TRS,(M) Positioned inner ring,1.20,0.79,0.68,0.71,0.78,,0.52,0.09,,,,,,0.81,,,0.97,0.97,,,,,,
DIAS TRS,(M) Positioned struts,1.21,0.03,0.58,0.13,0.92,,0.98,0.66,,0.19,,,0.24,0.94,,0.22,0.67,,,,,,,
DIAS TRS,(M) Accommodate radially OR separate from STRUT  separated from IR,1.22,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,(M) Assemble TRS through an assembly station,1.23,,,,,,,,,,,,,,,,,,,,,,,
